episode,total_reward,avg_reward_per_drone,avg_pdr,avg_delay_ms,avg_hop,avg_trust,avg_disconnect,avg_detection
366,-30.3601,-10.1200,0.5389,102.5952,1.0778,0.3600,0.2167,0.5056
98,-300.3280,-100.1093,0.0671,230.2440,1.0037,0.4734,0.7278,0.4000
367,57.1367,19.0456,0.7333,41.5034,1.0000,0.5127,0.0000,0.8667
99,-392.6888,-130.8963,0.0986,217.6761,1.0259,0.4924,0.6833,0.4389
368,6.9990,2.3330,0.7100,52.5908,1.0259,0.4640,0.0389,0.7667
100,-248.9854,-82.9951,0.1056,216.2690,1.0259,0.4983,0.6778,0.4500
369,51.3315,17.1105,0.7333,42.6263,1.0000,0.4897,0.0000,0.9111
101,-104.2448,-34.7483,0.1443,183.0523,1.0111,0.5285,0.5500,0.4222
370,48.6286,16.2095,0.7333,40.2679,1.0000,0.5281,0.0000,0.7778
371,58.8850,19.6283,0.7333,40.3429,1.0000,0.5223,0.0000,0.9000
102,-289.2225,-96.4075,0.0589,243.7899,1.0037,0.4646,0.7833,0.4000
372,81.7216,27.2405,0.7333,38.5290,1.0000,0.5601,0.0000,0.8722
103,-247.7140,-82.5713,0.0952,219.7088,1.0074,0.4960,0.6889,0.4111
373,64.3187,21.4396,0.7333,39.6763,1.0000,0.5376,0.0000,0.8444
104,-315.8208,-105.2736,0.0633,235.7884,1.0000,0.4719,0.7500,0.4000
374,23.6139,7.8713,0.7333,40.9519,1.0000,0.5193,0.0000,0.8278
105,-322.6618,-107.5539,0.0836,204.1153,1.0037,0.5020,0.6222,0.4056
375,51.8657,17.2886,0.7333,40.2097,1.0000,0.5217,0.0000,0.7889
106,-382.8135,-127.6045,0.0667,238.0798,1.0000,0.4733,0.7611,0.4111
376,55.8517,18.6172,0.7333,38.8252,1.0000,0.5480,0.0000,0.7389
107,-723.2675,-241.0892,0.0615,245.0700,1.0037,0.4662,0.7889,0.4056
377,38.4363,12.8121,0.7333,41.0771,1.0000,0.5103,0.0000,0.7667
108,-494.1021,-164.7007,0.0681,240.5447,1.0037,0.4723,0.7722,0.4111
378,73.4697,24.4899,0.7333,40.4552,1.0000,0.5171,0.0000,0.9333
109,-312.4703,-104.1568,0.0857,214.0320,1.0000,0.4926,0.6667,0.4056
379,30.9824,10.3275,0.6967,57.3870,1.0407,0.4679,0.0611,0.7556
110,-309.3287,-103.1096,0.1077,220.4194,1.0000,0.4937,0.6944,0.3944
380,67.6264,22.5421,0.7333,38.5989,1.0000,0.5618,0.0000,0.7889
111,-245.7461,-81.9154,0.0879,221.3506,1.0000,0.4924,0.7000,0.4167
381,44.1247,14.7082,0.7333,42.4760,1.0000,0.4814,0.0000,0.8056
112,-235.9426,-78.6475,0.0760,223.0870,1.0111,0.4833,0.7000,0.4222
382,10.3974,3.4658,0.7100,54.0342,1.0259,0.4369,0.0389,0.8444
113,-295.4052,-98.4684,0.0771,224.1482,1.0148,0.4837,0.7056,0.3833
383,-54.8385,-18.2795,0.6522,66.4095,1.0111,0.4971,0.1056,0.6722
114,-125.4320,-41.8107,0.1291,196.7057,1.0074,0.5205,0.6056,0.4222
384,52.5477,17.5159,0.7333,37.1544,1.0000,0.5873,0.0000,0.8389
115,-200.2294,-66.7431,0.0882,206.4811,1.0111,0.5026,0.6333,0.4056
385,62.5114,20.8371,0.7333,40.2094,1.0000,0.5354,0.0000,0.7778
116,-194.4770,-64.8257,0.0903,188.9501,1.0074,0.5175,0.5556,0.4000
386,19.1117,6.3706,0.6500,60.6755,1.0556,0.5299,0.0833,0.6278
117,-102.4956,-34.1652,0.1078,176.2852,1.0000,0.5257,0.5167,0.4222
387,-11.5393,-3.8464,0.7111,47.7316,1.0148,0.4951,0.0222,0.7833
118,-183.5740,-61.1913,0.0814,188.0370,1.0000,0.5076,0.5500,0.4000
388,63.0252,21.0084,0.7333,40.0228,1.0000,0.5269,0.0000,0.8611
119,-177.2939,-59.0980,0.1160,194.5009,1.0037,0.5076,0.5944,0.3944
389,9.1311,3.0437,0.7333,39.0836,1.0000,0.5509,0.0000,0.7389
