episode,total_reward,avg_reward_per_drone,avg_pdr,avg_delay_ms,avg_hop,avg_trust,avg_disconnect,avg_detection
70,-5732.4249,-573.2425,0.1239,228.0329,1.1954,0.2893,0.7296,0.1500
154,-5709.6765,-570.9677,0.0790,251.8120,1.1851,0.2617,0.8178,0.1467
120,-6669.2957,-666.9296,0.0881,246.1005,1.3108,0.2672,0.7959,0.1500
48,-7027.8051,-702.7805,0.0996,242.5185,1.2020,0.2734,0.7844,0.1500
71,-7541.4207,-754.1421,0.0875,250.6989,1.1014,0.2604,0.8159,0.1500
155,-6146.6837,-614.6684,0.0703,255.5816,1.2712,0.2601,0.8311,0.1517
121,-5530.2533,-553.0253,0.0810,255.6625,1.0946,0.2576,0.8352,0.1600
72,-8086.5182,-808.6518,0.0744,253.0767,1.1833,0.2632,0.8215,0.1517
49,-4376.2335,-437.6233,0.1013,238.2531,1.1925,0.2774,0.7667,0.1533
156,-3287.9760,-328.7976,0.1724,207.3683,1.1227,0.3201,0.6570,0.1517
122,-8097.3126,-809.7313,0.0930,242.5845,1.1196,0.2710,0.7826,0.1483
73,-4882.6163,-488.2616,0.1237,225.8931,1.1616,0.2944,0.7204,0.1550
50,-8086.5169,-808.6517,0.0991,239.8635,1.1119,0.2777,0.7726,0.1583
157,-6021.3356,-602.1336,0.0942,246.2204,1.1537,0.2710,0.7985,0.1633
123,-5708.8624,-570.8862,0.1251,227.1385,1.1230,0.2909,0.7263,0.1550
74,-4926.1343,-492.6134,0.1056,240.4721,1.1072,0.2786,0.7774,0.1600
51,-8079.1063,-807.9106,0.0616,260.1159,1.1924,0.2523,0.8478,0.1450
158,-5474.4664,-547.4466,0.0794,250.7854,1.1680,0.2640,0.8133,0.1500
124,-7557.8158,-755.7816,0.0881,246.3114,1.1041,0.2663,0.7970,0.1483
75,-5368.0452,-536.8045,0.1028,243.2528,1.1157,0.2681,0.7889,0.1533
52,-6445.0771,-644.5077,0.0894,244.2502,1.1595,0.2731,0.7881,0.1583
159,-5893.4516,-589.3452,0.0840,248.7954,1.1662,0.2618,0.8063,0.1483
125,-10040.4093,-1004.0409,0.0888,246.9671,1.0777,0.2656,0.8000,0.1450
76,-4872.1301,-487.2130,0.1078,235.8696,1.2055,0.2819,0.7581,0.1533
160,-3852.5145,-385.2514,0.1545,216.7361,1.0873,0.3171,0.6915,0.1633
53,-8039.3261,-803.9326,0.0909,244.3853,1.1185,0.2714,0.7893,0.1550
126,-6800.9935,-680.0994,0.1087,235.8875,1.1900,0.2785,0.7589,0.1533
77,-6512.1016,-651.2102,0.0839,248.8060,1.1181,0.2657,0.8063,0.1533
161,-7743.8600,-774.3860,0.1477,224.9919,1.1426,0.2949,0.7248,0.1467
54,-8218.2955,-821.8296,0.1265,228.8807,1.1611,0.2914,0.7344,0.1583
127,-6452.1407,-645.2141,0.1076,239.7729,1.1448,0.2771,0.7752,0.1583
78,-7081.6679,-708.1668,0.0983,242.4792,1.0955,0.2746,0.7841,0.1550
162,-5096.9178,-509.6918,0.0968,246.5414,1.0842,0.2668,0.8011,0.1450
55,-6810.4662,-681.0466,0.0868,248.6285,1.0402,0.2652,0.8067,0.1500
128,-6931.4791,-693.1479,0.0856,248.0804,1.1601,0.2664,0.8041,0.1500
79,-4258.8923,-425.8892,0.1319,226.7018,1.4128,0.2952,0.7267,0.1533
163,-3376.3389,-337.6339,0.1381,218.2322,1.2603,0.3163,0.6922,0.1717
56,-8141.8089,-814.1809,0.0976,248.3751,1.0910,0.2635,0.8089,0.1500
129,-5836.5694,-583.6569,0.0948,244.9353,1.1513,0.2695,0.7933,0.1550
80,-7976.5168,-797.6517,0.0821,249.5443,1.0999,0.2666,0.8093,0.1450
164,-4844.3713,-484.4371,0.1068,237.6269,1.1404,0.2818,0.7659,0.1633
130,-5448.3795,-544.8379,0.0936,244.1623,1.1377,0.2697,0.7896,0.1600
57,-7885.7388,-788.5739,0.0750,256.8133,1.0668,0.2541,0.8381,0.1450
81,-5497.6337,-549.7634,0.0982,240.5529,1.2975,0.2838,0.7756,0.1667
165,-5762.3258,-576.2326,0.0954,242.9729,1.2054,0.2731,0.7848,0.1567
131,-10386.4165,-1038.6417,0.0935,243.3719,1.2342,0.2726,0.7863,0.1483
82,-7251.4349,-725.1435,0.1182,224.3051,1.1153,0.2930,0.7115,0.1583
58,-7547.0419,-754.7042,0.0888,248.0649,1.1767,0.2658,0.8048,0.1567
166,-5310.3678,-531.0368,0.0880,248.4789,1.0898,0.2623,0.8063,0.1433
132,-6293.8652,-629.3865,0.0737,252.1368,1.1443,0.2599,0.8174,0.1450
83,-5913.9715,-591.3971,0.0877,244.3848,1.6053,0.2737,0.7881,0.1550
59,-7770.3134,-777.0313,0.0977,243.3335,1.0943,0.2726,0.7874,0.1500
167,-7261.0737,-726.1074,0.1126,239.9216,1.0639,0.2761,0.7778,0.1533
133,-5188.4166,-518.8417,0.1084,243.1499,1.0908,0.2707,0.7904,0.1533
84,-8952.3672,-895.2367,0.0754,256.7473,1.1539,0.2526,0.8381,0.1450
60,-7432.2250,-743.2225,0.0713,256.3100,1.1106,0.2537,0.8348,0.1433
168,-7780.3647,-778.0365,0.0885,245.0176,1.0586,0.2647,0.7915,0.1383
134,-4286.4023,-428.6402,0.1050,236.6221,1.2404,0.2812,0.7607,0.1517
85,-6028.7382,-602.8738,0.0618,260.3080,1.1786,0.2530,0.8489,0.1533
169,-5192.3772,-519.2377,0.1034,240.3594,1.1267,0.2756,0.7763,0.1550
61,-8180.2762,-818.0276,0.0865,248.4776,1.1408,0.2661,0.8056,0.1567
135,-6911.2600,-691.1260,0.0804,250.6059,1.1278,0.2656,0.8130,0.1567
86,-6117.2983,-611.7298,0.0925,245.8758,1.1374,0.2679,0.7967,0.1533
170,-4191.1635,-419.1163,0.1645,213.8006,1.1587,0.3174,0.6822,0.1650
62,-6948.1155,-694.8115,0.1108,237.1643,1.2148,0.2774,0.7652,0.1500
136,-6006.8004,-600.6800,0.1061,239.5855,1.1186,0.2772,0.7741,0.1533
87,-7674.6885,-767.4688,0.0840,249.4044,1.1268,0.2654,0.8093,0.1517
171,-4181.6247,-418.1625,0.1218,234.9538,1.0457,0.2812,0.7596,0.1517
63,-13370.4378,-1337.0438,0.1101,237.6627,1.1007,0.2724,0.7670,0.1417
137,-5585.4387,-558.5439,0.0993,242.7960,1.1233,0.2731,0.7859,0.1583
88,-4710.6139,-471.0614,0.0983,240.1854,1.1301,0.2805,0.7741,0.1583
172,-4661.5727,-466.1573,0.0954,242.3478,1.2488,0.2733,0.7822,0.1500
64,-7751.6655,-775.1666,0.1116,235.6825,1.1960,0.2830,0.7589,0.1600
138,-6303.6560,-630.3656,0.1113,233.4477,1.1149,0.2818,0.7493,0.1500
89,-4291.7161,-429.1716,0.1492,215.3876,1.0660,0.3138,0.6837,0.1617
173,-5224.6761,-522.4676,0.0775,252.1642,1.2548,0.2632,0.8185,0.1533
65,-9092.4427,-909.2443,0.0836,248.2905,1.0754,0.2634,0.8041,0.1467
139,-7321.6214,-732.1621,0.1207,233.1481,1.0808,0.2828,0.7507,0.1483
90,-5107.5501,-510.7550,0.1185,234.2069,1.1138,0.2846,0.7552,0.1583
174,-4568.6431,-456.8643,0.0952,246.1971,1.1693,0.2645,0.7989,0.1500
140,-5450.1761,-545.0176,0.1010,238.6586,1.1126,0.2779,0.7681,0.1517
66,-6441.6631,-644.1663,0.1133,240.4055,1.0877,0.2736,0.7800,0.1467
91,-4452.6331,-445.2633,0.1171,234.5736,1.2739,0.2904,0.7559,0.1683
175,-5268.1811,-526.8181,0.0755,254.2222,1.1340,0.2578,0.8270,0.1467
141,-6180.3829,-618.0383,0.1116,233.0988,1.1418,0.2893,0.7478,0.1650
92,-5066.6171,-506.6617,0.0771,252.6052,1.1838,0.2599,0.8204,0.1483
67,-5662.8362,-566.2836,0.0772,252.7905,1.2101,0.2598,0.8215,0.1550
176,-6117.0490,-611.7049,0.0713,255.5451,1.2114,0.2588,0.8315,0.1583
142,-5408.1554,-540.8155,0.0803,249.8713,1.3692,0.2652,0.8096,0.1533
93,-5763.8248,-576.3825,0.0940,246.7544,1.0966,0.2652,0.8011,0.1533
68,-7832.2298,-783.2230,0.0642,260.2355,1.1062,0.2515,0.8493,0.1433
177,-3927.1947,-392.7195,0.1000,244.1814,1.1051,0.2675,0.7919,0.1517
143,-5968.8403,-596.8840,0.1016,243.7331,1.1624,0.2710,0.7904,0.1500
94,-5471.6642,-547.1664,0.1073,235.5698,1.3933,0.2826,0.7570,0.1583
69,-7964.2824,-796.4282,0.0938,249.1625,1.1271,0.2636,0.8115,0.1467
178,-4751.9078,-475.1908,0.1085,236.7503,1.1807,0.2805,0.7626,0.1483
144,-4779.0770,-477.9077,0.1187,234.5245,1.2285,0.2840,0.7563,0.1533
