scenario,MADDPG_avg_pdr,MATD3_avg_pdr,delta_avg_pdr,MADDPG_avg_delay_ms,MATD3_avg_delay_ms,delta_avg_delay_ms,MADDPG_avg_detection_f1,MATD3_avg_detection_f1,delta_avg_detection_f1
Blackhole,0.094565,0.081950,-0.012615,248.650255,253.529017,4.878762,0.192760,0.192992,0.000232
Default,0.094100,0.096508,0.002408,244.545310,243.917133,-0.628177,0.184565,0.183850,-0.000715
Selective Forwarding,0.093590,0.093400,-0.000190,246.824875,245.863342,-0.961533,0.188490,0.188842,0.000352
Sybil,0.093660,0.088125,-0.005535,244.792955,248.609558,3.816603,0.185745,0.184942,-0.000803
