scenario,MADDPG_avg_pdr,MATD3_avg_pdr,delta_avg_pdr,MADDPG_avg_delay_ms,MATD3_avg_delay_ms,delta_avg_delay_ms,MADDPG_avg_detection_f1,MATD3_avg_detection_f1,delta_avg_detection_f1
Blackhole,0.094565,0.075700,-0.018865,248.650255,258.292425,9.642170,0.192760,0.192690,-0.000070
Default,0.094100,0.081795,-0.012305,244.545310,252.092270,7.546960,0.184565,0.184215,-0.000350
Selective Forwarding,0.093590,0.079480,-0.014110,246.824875,254.542770,7.717895,0.188490,0.186955,-0.001535
Sybil,0.093660,0.079115,-0.014545,244.792955,252.933590,8.140635,0.185745,0.185460,-0.000285
