scenario,MADDPG_avg_pdr,MATD3_avg_pdr,delta_avg_pdr,MADDPG_avg_delay_ms,MATD3_avg_delay_ms,delta_avg_delay_ms,MADDPG_avg_detection_f1,MATD3_avg_detection_f1,delta_avg_detection_f1
Blackhole,0.106815,0.137645,0.030830,249.112215,220.331840,-28.780375,0.453468,0.372340,-0.081128
Default,0.180270,0.192915,0.012645,205.609512,173.000305,-32.609207,0.346345,0.189730,-0.156615
Selective Forwarding,0.143800,0.156115,0.012315,221.508855,189.960985,-31.547870,0.442192,0.363215,-0.078978
Sybil,0.156695,0.189240,0.032545,209.043285,174.048055,-34.995230,0.368783,0.198160,-0.170623
