scenario,MADDPG_avg_pdr,MATD3_avg_pdr,delta_avg_pdr,MADDPG_avg_delay_ms,MATD3_avg_delay_ms,delta_avg_delay_ms,MADDPG_avg_detection_f1,MATD3_avg_detection_f1,delta_avg_detection_f1
Blackhole,0.094565,0.124492,0.029927,248.650255,232.095975,-16.554280,0.192760,0.193675,0.000915
Default,0.094100,0.118158,0.024058,244.545310,226.535458,-18.009852,0.184565,0.183208,-0.001357
Selective Forwarding,0.093590,0.120042,0.026452,246.824875,227.392267,-19.432608,0.188490,0.187942,-0.000548
Sybil,0.093660,0.120792,0.027132,244.792955,225.345175,-19.447780,0.185745,0.185283,-0.000462
