scenario,MADDPG_avg_pdr,MATD3_avg_pdr,delta_avg_pdr,MADDPG_avg_delay_ms,MATD3_avg_delay_ms,delta_avg_delay_ms,MADDPG_avg_detection_f1,MATD3_avg_detection_f1,delta_avg_detection_f1
Blackhole,0.094565,0.110433,0.015868,248.650255,241.172425,-7.477830,0.192760,0.194067,0.001307
Default,0.094100,0.101983,0.007883,244.545310,242.563350,-1.981960,0.184565,0.183492,-0.001073
Selective Forwarding,0.093590,0.100550,0.006960,246.824875,243.622400,-3.202475,0.188490,0.189008,0.000518
Sybil,0.093660,0.092750,-0.000910,244.792955,245.630167,0.837212,0.185745,0.185417,-0.000328
