scenario,MADDPG_avg_pdr,MATD3_avg_pdr,delta_avg_pdr,MADDPG_avg_delay_ms,MATD3_avg_delay_ms,delta_avg_delay_ms,MADDPG_avg_detection_f1,MATD3_avg_detection_f1,delta_avg_detection_f1
Blackhole,0.094565,0.109825,0.015260,248.650255,240.582983,-8.067272,0.192760,0.194142,0.001382
Default,0.094100,0.105342,0.011242,244.545310,237.609542,-6.935768,0.184565,0.183233,-0.001332
Selective Forwarding,0.093590,0.124067,0.030477,246.824875,230.285575,-16.539300,0.188490,0.190150,0.001660
Sybil,0.093660,0.102275,0.008615,244.792955,239.591492,-5.201463,0.185745,0.185325,-0.000420
